dataset,language,accuracy,macro_f1,pearson,spearman
comedi,chinese,0.7638888888888888,0.4698216974390116,0.3605461418345754,0.3040381581606905
comedi,english,0.6759410801963993,0.6329996359665089,0.7130699953416648,0.7111350651491867
comedi,german,0.635784781916587,0.6341960404893316,0.7303622587125007,0.7277432702847199
comedi,norwegian,0.5804347826086956,0.5075192349296337,0.5763221869135283,0.4245456622635674
comedi,russian,0.6210065645514223,0.6059258981928604,0.6247118119297095,0.5571482209077803
comedi,spanish,0.5905143620574482,0.5877765174911562,0.7187971246311735,0.6721838310241844
comedi,swedish,0.5762081784386617,0.5436998257292232,0.6040050075506851,0.5511703241102252
mcl-wic,arabic,0.808,0.806138150800286,0.6978762760300743,0.7039404411824518
mcl-wic,chinese,0.809,0.8074051218137396,0.722966252027531,0.7225842453970276
mcl-wic,english,0.855,0.85319116838568,0.8172323285331624,0.8028405917447222
mcl-wic,french,0.757,0.7447583554875379,0.7289432003582852,0.7311336524578921
mcl-wic,russian,0.781,0.7734117873464451,0.7361140866544513,0.7345215455314438
wic,english,0.6692857142857143,0.6523500162776565,0.5309808269818692,0.5322664185433159
