dataset,language,accuracy,macro_f1,pearson,spearman
comedi,chinese,0.9305555555555556,0.5727785510219031,0.4067022828596119,0.3068568629537974
comedi,english,0.8007364975450082,0.797584093225451,0.6753599321323651,0.6810183171341648
comedi,german,0.804839223177332,0.7992960157908611,0.7120943199525088,0.704280885368541
comedi,norwegian,0.8760869565217392,0.7631177153778743,0.58745181163942,0.4141719604702075
comedi,russian,0.8516411378555798,0.7809607509965584,0.6283614223989193,0.5270814079902967
comedi,spanish,0.8443553774215097,0.8100743093024662,0.7267666277970668,0.6858816011679698
comedi,swedish,0.8319702602230483,0.7540648038473239,0.6364980469901593,0.5472816826688304
mcl-wic,arabic,0.812,0.8095245814606629,0.6784072194113675,0.7013492918787536
mcl-wic,chinese,0.829,0.8270195467912126,0.7066521470590885,0.7229029429049689
mcl-wic,english,0.889,0.8884376140122356,0.7768699165763758,0.7920949431617392
mcl-wic,french,0.847,0.8469986229876069,0.6982956364665889,0.7133350894600305
mcl-wic,russian,0.845,0.8446568469749677,0.7138050788893688,0.7254525229685007
wic,english,0.7114285714285714,0.7107858076418816,0.4848966276723938,0.4860701373623903
