dataset,language,accuracy,macro_f1,pearson,spearman
comedi,chinese,0.945679012345679,0.5930763609791743,0.3575880406093367,0.3209382793114141
comedi,english,0.7933715220949263,0.785117420057994,0.7338268935754781,0.717974529789669
comedi,german,0.7956064947468959,0.7922882671602114,0.7393001016809276,0.7253027209850277
comedi,norwegian,0.8666666666666667,0.7548504695996046,0.6411692787110577,0.4512849845037235
comedi,russian,0.8634573304157549,0.8163796407333688,0.695557081167868,0.5647712450214954
comedi,spanish,0.8390113560454242,0.8151345202440092,0.8202838066009398,0.7299864512080875
comedi,swedish,0.8706319702602231,0.7995329888712241,0.6923606429014828,0.5535666718519962
mcl-wic,arabic,0.841,0.8401481494886249,0.7038919630541842,0.7086100524944636
mcl-wic,chinese,0.825,0.8223997548101758,0.7018701594571232,0.707577749697001
mcl-wic,english,0.892,0.8919788278502587,0.8106805926100915,0.7975266572101329
mcl-wic,french,0.815,0.8142150586226808,0.7113877422605692,0.7042244976569213
mcl-wic,russian,0.853,0.8529822108475125,0.7316457732863361,0.7231939275861329
wic,english,0.7078571428571429,0.7074055621558784,0.4843434009458134,0.4835993132331175
