dataset,language,accuracy,macro_f1,pearson,spearman
comedi,chinese,0.9037037037037036,0.5459217041950855,0.3925192518622259,0.3118806784589031
comedi,english,0.7745499181669394,0.7636434576431708,0.7239466928765016,0.7025083374447605
comedi,german,0.758038841133397,0.7559149090718722,0.7003557922333371,0.6939127069395772
comedi,norwegian,0.8014492753623188,0.6845845845845846,0.5545039960470095,0.3996539771291514
comedi,russian,0.8091903719912472,0.7569945830764067,0.6101572162299247,0.5337120918785814
comedi,spanish,0.7568470273881096,0.7353119474614802,0.6964777636469299,0.6537333824509267
comedi,swedish,0.7710037174721189,0.7026130653266331,0.6234315516469591,0.5615497833183799
mcl-wic,arabic,0.833,0.8328179387352828,0.7036473686623947,0.6939499671291561
mcl-wic,chinese,0.839,0.8384376012900908,0.7309060928247042,0.714984002653293
mcl-wic,english,0.881,0.8809655990581278,0.8034440919664338,0.7854092237016629
mcl-wic,french,0.836,0.8355889724310777,0.7137630965488929,0.7046817614127978
mcl-wic,russian,0.839,0.8389534575492317,0.7347652205507398,0.7234225584070474
wic,english,0.7114285714285714,0.7111928104575163,0.4823069242724945,0.4832635073786383
