dataset,language,accuracy,macro_f1,pearson,spearman
comedi,chinese,0.7132716049382716,0.4573691065851207,0.3660206750585595,0.3020177603753458
comedi,english,0.6612111292962357,0.609415568623727,0.7179363926399525,0.7069096454633399
comedi,german,0.5561922954473097,0.545894526450112,0.7169705718530576,0.7146139111452968
comedi,norwegian,0.4666666666666667,0.4253578500707213,0.5428889231904134,0.4222783221866409
comedi,russian,0.5054704595185996,0.5025526914036913,0.6048452420955277,0.5393135464153619
comedi,spanish,0.5190380761523046,0.5190121059151551,0.725078774764371,0.6888432077541501
comedi,swedish,0.4617100371747212,0.4491621299954293,0.5582334044722356,0.526714490526653
mcl-wic,arabic,0.778,0.7728900255754476,0.6942544664023295,0.698744286161667
mcl-wic,chinese,0.781,0.7761631086140408,0.726148161870902,0.7219329939677558
mcl-wic,english,0.812,0.8059903573079717,0.8162754132195369,0.8061869155781075
mcl-wic,french,0.685,0.6526916397916149,0.7371207963605044,0.7372374025556406
mcl-wic,russian,0.72,0.7006896964565936,0.7234046351838761,0.7211916758514572
wic,english,0.6492857142857142,0.6196155316833036,0.5282300352714804,0.5302409796007462
