dataset,language,accuracy,macro_f1,pearson,spearman
comedi,chinese,0.9024691358024692,0.5471137258371301,0.4105001874720337,0.324996365013709
comedi,english,0.7921440261865794,0.7877410230949977,0.690367658824128,0.6942185732852868
comedi,german,0.8185291308500477,0.8138304730848258,0.7395086386016619,0.7280551120172419
comedi,norwegian,0.8608695652173913,0.7478070175438596,0.5703264552826868,0.4083837738147224
comedi,russian,0.8481400437636761,0.7897727468568454,0.6542737028545587,0.5622061891258305
comedi,spanish,0.8263193052772211,0.7984109884190682,0.7314296946498045,0.6864280874392629
comedi,swedish,0.8594795539033457,0.7854674346477626,0.6694093626633326,0.5723359712063161
mcl-wic,arabic,0.823,0.8208717775895413,0.6976903289360857,0.7206027782824349
mcl-wic,chinese,0.85,0.84871956237595,0.7219121371309092,0.7346254686318595
mcl-wic,english,0.891,0.890778827124928,0.7849865063118693,0.7911873480847755
mcl-wic,french,0.84,0.8399974399590393,0.7106081064682765,0.7135741147317113
mcl-wic,russian,0.86,0.8597975476588193,0.7344807215910744,0.7437360604349689
wic,english,0.7221428571428572,0.7219270668717919,0.4900754762940161,0.4927403020718865
